utterance,tran_raw_2025,final_intent,suggested_intent_status,intent_confidence,needs_review,intent_reason
"I' have a community card, but it's not letting me log in.",tran_raw_2025,account,missing,medium,FALSE,"User has library card login problem, likely account access issue."
Having trouble logging into the library,tran_raw_2025,account,missing,medium,TRUE,Generic library login trouble without resource access context.
how do I access my online bookshelf,tran_raw_2025,account,missing,medium,TRUE,Online bookshelf access may relate to personal library account or external platform.
I am a community member. I can't recall my user name and password. I do have a card,tran_raw_2025,account,missing,medium,FALSE,User needs help with library card account login credentials.
I have tried twice to sign in,tran_raw_2025,account,missing,low,TRUE,Very brief login issue with unclear target system.
"I am unable to access my library account, being shown "" bad message error"" , do I need to contact IT?",tran_raw_2026_5,account,accepted,high,FALSE,Reports login/access problem with personal library account.
I am looking through my list of items I have checked out and I clicked on one of the items and I see this...why am I seeing this?,tran_raw_2026_5,account,missing,high,FALSE,Question concerns personal checked-out items list in library account.
"I want to access my library account, but it doesn't open as previously. Is there a change in the system? How should I access my library account?",tran_raw_2026_5,account,missing,high,FALSE,Needs help accessing personal library account.
looking for my history. a book i had maybe 6-8 years ago. is that history avaiilable? cannot recall the title.,tran_raw_2026_5,account,missing,medium,TRUE,Asks about personal borrowing history for an old book.
How can i get a login as a community user?,tran_raw_2026_5,account,missing,medium,FALSE,User asks about login/account access as a community user.
how do i set up my community user login,tran_raw_2026_5,account,accepted,high,FALSE,Asks about setting up a library user login/account.
"Not sure why i am charged a fine, when the books were due in May",tran_raw_2026_5,account,missing,high,FALSE,Personal fine/account charge question.
Where to download/buy acrobat pro,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks how to obtain Adobe Acrobat Pro.
Am I able to digitally rent Adobe suites (mainly Adobe Illustrator)?,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks about access to Adobe suite and Illustrator.
I am trying to book an adobe subsricption for class and it is not letting me,tran_raw_2023,adobe_access,accepted,high,FALSE,Trouble booking an Adobe subscription for class.
How can I get adobe acrobat reader for my personal mac ?,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks how to get Adobe Acrobat Reader.
"My IMS 254 teacher said I would check out adobe illustrator for 14 days from the library, but I cant find where it's at.",tran_raw_2023,adobe_access,accepted,high,FALSE,Asks where to check out Adobe Illustrator license.
Hello! I just had a question about accessing Adobe Cloud Reader. I am a graduate student and need to format my thesis in PDF. I wasnât sure where I could go in the library to do this. Thank you!,tran_raw_2023,adobe_access,accepted,high,FALSE,Needs library access to Adobe software for PDF formatting.
Can I get access to adobe acrobat on my computer ? Or can I log in to the library computer from mine to use the adobe acrobat software,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks about accessing Adobe Acrobat on personal or library computer.
I would like to do a pdf full text download of a book in ebsco but it says i need adobe how do i do that?,tran_raw_2023,adobe_access,accepted,medium,FALSE,Adobe requirement is the main issue for downloading EBSCO PDF.
the only time shown on the adobe software reserve is november 6th. I need to reserve for july 31st till august 16,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks about reserving Adobe software for specific dates.
"I have a student who is unable to get a license to Adobe Creative Cloud. He never received a confirmation email from Adobe (and he did check his spam folder, too) Who can he contact in Oxford to troubleshoot?",tran_raw_2023,adobe_access,accepted,high,FALSE,Troubleshooting Adobe Creative Cloud license access.
what is the checkout duration for creative cloud,tran_raw_2023,adobe_access,accepted,high,FALSE,"Checkout duration for Creative Cloud, an Adobe product."
What is the check out duration for adobe creative cloud,tran_raw_2023,adobe_access,accepted,high,FALSE,Checkout duration for Adobe Creative Cloud.
What is the checkout duration for Adobe Creative Clould,tran_raw_2023,adobe_access,accepted,high,FALSE,Checkout duration for Adobe Creative Cloud.
checkout duration for Adobe software,tran_raw_2023,adobe_access,accepted,high,FALSE,Checkout duration for Adobe software.
"I want to return the Adobe Creative Cloud that I had reserved so that I can reserve another for a fresh 2 weeks again. Unless I can renew my existing reservation, how do I do all that?",tran_raw_2023,adobe_access,accepted,high,FALSE,Renewing or returning an Adobe Creative Cloud reservation.
Can I checkout Adobe creative cloud for today?,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks to check out Adobe Creative Cloud.
how can I rent adobe,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks how to rent Adobe software.
"ive tried to check out the adobe creative cloud multiple times, but it still wont give me access. i also don't get the confirmation emails anymore.",tran_raw_2023,adobe_access,accepted,high,FALSE,Adobe Creative Cloud checkout/access problem.
"i keep trying to rent the adobe creative cloud, but still wont lry mr log in. what do i do?",tran_raw_2023,adobe_access,accepted,high,FALSE,Adobe Creative Cloud login/access issue.
where can i find the free link for adobe illustrator,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks for Adobe Illustrator access link.
Are there any Adobe Creative Clouds available now? I just cancelled my subscription to renew it but I can't see it,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks availability of Adobe Creative Cloud license.
i am unable to check out adobe,tran_raw_2024,adobe_access,accepted,high,FALSE,Unable to check out Adobe.
Hi. I just want to make sure I have the Creative Cloud software checked out correctly. It should be available this Sunday at 12am.,tran_raw_2024,adobe_access,accepted,high,FALSE,Verifying Creative Cloud software checkout.
Can faculty check out adobe creative cloud?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks faculty eligibility for Adobe checkout.
I'd like to use Adobe Creative Cloud but it looks like only students are able to check out a license. Is there any way I can access it as a staff member?,tran_raw_2024,adobe_access,accepted,high,FALSE,Staff member asks about Adobe license access.
do we students get photoshop and all the adobe softwares for free? Thank you,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks whether students get Adobe software free.
"I have tried to reserve a Adobe Creative Cloud license, but when I click on checkout (everytime) it always pops up with ""TImeout""",tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud license checkout error.
"I keep booking the adobe Creative cloud, but every time the day of the booking comes I don't get any emails so i can download the app, this has happened every time I book software.",tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud booking email issue.
Can you provide me the link to check out photoshop?,tran_raw_2024,adobe_access,accepted,high,FALSE,Requests link to check out Photoshop.
It seems there is a 4 day wait period for the Photoshop software. Is this correct?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks about Photoshop software wait period.
Are staff allowed to use Adobe?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks staff eligibility for Adobe use.
What are my options for getting a cheap version of adobe premiere?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks options for discounted Adobe Premiere.
HOW I CAN GET ADOBE ACROBAT FOR PDF DOCUMENTS?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks how to get Adobe Acrobat.
If a student needs Adobe Creative Cloud how do they go about it and what's the time for for them to have it? It's required for a course the professor advises they go to the library.,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks process and timing for student Adobe access.
Trying to get creative cloud when is the soonest I can make that happen?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks soonest availability for Creative Cloud.
Does Miami have Adobe Acrobat Pro? I would like to split one PDF file and then merge two different PDF files.,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks availability of Adobe Acrobat Pro.
Does Miami have any free or discounted photoshop partnerships,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks about free or discounted Photoshop access.
"I am trying to turn in my Masters Thesis for format checking, and it says I need to access adobe acrobat pro for accessibility reasons. Do you know how I do this ?",tran_raw_2024,adobe_access,accepted,high,FALSE,Asks how to access Adobe Acrobat Pro for thesis formatting.
"Hello, I am trying to access adobe pro for my thesis format check pdf, could you point me to where I can do that?",tran_raw_2024,adobe_access,accepted,high,FALSE,Requests access to Adobe Pro for thesis format checking.
"Hello, could you point me to where I can access adobe pro for my masters thesis format check?",tran_raw_2024,adobe_access,accepted,high,FALSE,Asks where to access Adobe Pro.
Hi im an incoming miami freshman. I was wondering when using the adobe creative cloud can I keep renewing my liscence after I start using it?,tran_raw_2024,adobe_access,accepted,high,FALSE,Question about renewing Adobe Creative Cloud license.
I am having an issue activiating my adobe subscription I checked out,tran_raw_2024,adobe_access,accepted,high,FALSE,Issue activating checked-out Adobe subscription.
I'm trying to rent out Adobe Creative Suite and was told its here but cannot find it anyway I can get some direction? thank You!,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks how to obtain Adobe Creative Suite.
I checked out Adobe Creative Cloud for 8/26 - 9/9. I tried to access Adobe and it isn't working even though everything is updated and I am signed in.,tran_raw_2024,adobe_access,accepted,high,FALSE,Trouble accessing checked-out Adobe Creative Cloud.
How do you check out adobe illustrator on a computer,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks how to check out Adobe Illustrator.
What is the checkout duration for Adobe Creative Cloud?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks checkout duration for Adobe Creative Cloud.
I just checked out adobe CC and I can't figure out how to download Adobe XD now that I have it.,tran_raw_2024,adobe_access,accepted,high,FALSE,Needs help downloading Adobe XD after checkout.
Where to download/buy acrobat pro,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks how to obtain Acrobat Pro.
Am I able to digitally rent Adobe suites (mainly Adobe Illustrator)?,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks about renting Adobe suite/Illustrator.
I am trying to book an adobe subsricption for class and it is not letting me,tran_raw_2023,adobe_access,accepted,high,FALSE,Problem booking Adobe subscription for class.
How can I get adobe acrobat reader for my personal mac ?,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks about getting Adobe Acrobat Reader.
"My IMS 254 teacher said I would check out adobe illustrator for 14 days from the library, but I cant find where it's at.",tran_raw_2023,adobe_access,accepted,high,FALSE,Needs checkout access to Adobe Illustrator.
Hello! I just had a question about accessing Adobe Cloud Reader. I am a graduate student and need to format my thesis in PDF. I wasnât sure where I could go in the library to do this. Thank you!,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks where to access Adobe for PDF formatting.
Can I get access to adobe acrobat on my computer ? Or can I log in to the library computer from mine to use the adobe acrobat software,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks access to Adobe Acrobat software.
I would like to do a pdf full text download of a book in ebsco but it says i need adobe how do i do that?,tran_raw_2023,adobe_access,accepted,medium,FALSE,PDF download requires Adobe; asks how to use/get it.
the only time shown on the adobe software reserve is november 6th. I need to reserve for july 31st till august 16,tran_raw_2023,adobe_access,accepted,high,FALSE,Adobe software reservation date issue.
"I have a student who is unable to get a license to Adobe Creative Cloud. He never received a confirmation email from Adobe (and he did check his spam folder, too) Who can he contact in Oxford to troubleshoot?",tran_raw_2023,adobe_access,accepted,high,FALSE,Adobe Creative Cloud license troubleshooting contact.
what is the checkout duration for creative cloud,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks checkout duration for Creative Cloud.
What is the check out duration for adobe creative cloud,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks checkout duration for Adobe Creative Cloud.
What is the checkout duration for Adobe Creative Clould,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks checkout duration for Adobe Creative Cloud.
checkout duration for Adobe software,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks checkout duration for Adobe software.
"I want to return the Adobe Creative Cloud that I had reserved so that I can reserve another for a fresh 2 weeks again. Unless I can renew my existing reservation, how do I do all that?",tran_raw_2023,adobe_access,accepted,high,FALSE,Adobe Creative Cloud return/renew/reserve question.
Can I checkout Adobe creative cloud for today?,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks if Adobe Creative Cloud can be checked out today.
how can I rent adobe,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks how to rent Adobe.
"ive tried to check out the adobe creative cloud multiple times, but it still wont give me access. i also don't get the confirmation emails anymore.",tran_raw_2023,adobe_access,accepted,high,FALSE,Adobe Creative Cloud checkout/access problem.
"i keep trying to rent the adobe creative cloud, but still wont lry mr log in. what do i do?",tran_raw_2023,adobe_access,accepted,high,FALSE,Adobe Creative Cloud rental/login access issue.
where can i find the free link for adobe illustrator,tran_raw_2023,adobe_access,accepted,high,FALSE,Asks for Adobe Illustrator access link.
Are there any Adobe Creative Clouds available now? I just cancelled my subscription to renew it but I can't see it,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks about Adobe Creative Cloud license availability.
i am unable to check out adobe,tran_raw_2024,adobe_access,accepted,high,FALSE,Unable to check out Adobe.
Hi. I just want to make sure I have the Creative Cloud software checked out correctly. It should be available this Sunday at 12am.,tran_raw_2024,adobe_access,accepted,high,FALSE,Creative Cloud software checkout confirmation.
Can faculty check out adobe creative cloud?,tran_raw_2024,adobe_access,accepted,high,FALSE,Faculty eligibility for Adobe Creative Cloud checkout.
I'd like to use Adobe Creative Cloud but it looks like only students are able to check out a license. Is there any way I can access it as a staff member?,tran_raw_2024,adobe_access,accepted,high,FALSE,Staff access to Adobe Creative Cloud license.
do we students get photoshop and all the adobe softwares for free? Thank you,tran_raw_2024,adobe_access,accepted,high,FALSE,Student access to Photoshop and Adobe software.
"I have tried to reserve a Adobe Creative Cloud license, but when I click on checkout (everytime) it always pops up with ""TImeout""",tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud checkout timeout error.
"I keep booking the adobe Creative cloud, but every time the day of the booking comes I don't get any emails so i can download the app, this has happened every time I book software.",tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud booking email/access issue.
Can you provide me the link to check out photoshop?,tran_raw_2024,adobe_access,accepted,high,FALSE,Requests link to check out Photoshop.
It seems there is a 4 day wait period for the Photoshop software. Is this correct?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks about Photoshop software wait period.
Are staff allowed to use Adobe?,tran_raw_2024,adobe_access,accepted,high,FALSE,Staff eligibility for Adobe access.
What are my options for getting a cheap version of adobe premiere?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks about Adobe Premiere access or discount.
HOW I CAN GET ADOBE ACROBAT FOR PDF DOCUMENTS?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks how to get Adobe Acrobat.
If a student needs Adobe Creative Cloud how do they go about it and what's the time for for them to have it? It's required for a course the professor advises they go to the library.,tran_raw_2024,adobe_access,accepted,high,FALSE,Course-required Adobe Creative Cloud access process.
Trying to get creative cloud when is the soonest I can make that happen?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks earliest Creative Cloud access.
Does Miami have Adobe Acrobat Pro? I would like to split one PDF file and then merge two different PDF files.,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks whether Adobe Acrobat Pro is available.
Does Miami have any free or discounted photoshop partnerships,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks about Photoshop discounts or partnerships.
"I am trying to turn in my Masters Thesis for format checking, and it says I need to access adobe acrobat pro for accessibility reasons. Do you know how I do this ?",tran_raw_2024,adobe_access,accepted,high,FALSE,Asks how to access Adobe Acrobat Pro.
"Hello, I am trying to access adobe pro for my thesis format check pdf, could you point me to where I can do that?",tran_raw_2024,adobe_access,accepted,high,FALSE,Requests access location for Adobe Pro.
"Hello, could you point me to where I can access adobe pro for my masters thesis format check?",tran_raw_2024,adobe_access,accepted,high,FALSE,Asks where to access Adobe Pro.
Hi im an incoming miami freshman. I was wondering when using the adobe creative cloud can I keep renewing my liscence after I start using it?,tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud license renewal question.
I am having an issue activiating my adobe subscription I checked out,tran_raw_2024,adobe_access,accepted,high,FALSE,Issue activating checked-out Adobe subscription.
I'm trying to rent out Adobe Creative Suite and was told its here but cannot find it anyway I can get some direction? thank You!,tran_raw_2024,adobe_access,accepted,high,FALSE,Seeks directions to check out Adobe Creative Suite.
I checked out Adobe Creative Cloud for 8/26 - 9/9. I tried to access Adobe and it isn't working even though everything is updated and I am signed in.,tran_raw_2024,adobe_access,accepted,high,FALSE,Trouble accessing checked-out Adobe Creative Cloud.
How do you check out adobe illustrator on a computer,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks how to check out Adobe Illustrator.
What is the checkout duration for Adobe Creative Cloud?,tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud checkout duration.
I just checked out adobe CC and I can't figure out how to download Adobe XD now that I have it.,tran_raw_2024,adobe_access,accepted,high,FALSE,Needs help downloading Adobe XD after checkout.
How long can you check out Adobe Creative Cloud for?,tran_raw_2024,adobe_access,accepted,high,FALSE,Asks Adobe Creative Cloud checkout length.
"The libraries have software for checkout that can be used on one's own device. These include Adobe Creative Cloud, Final Cut Pro, and Logic Pro. What is the checkout duration for Adobe Creative Cloud?",tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud checkout duration.
"The libraries have software for checkout that you can use on own your devise. These include Adobe Creative Cloud, Final Cut Pro and Logic Pro. What is the checkout duration for Adobe Creative Cloud?",tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud checkout duration.
"What if I need Adobe Creative Cloud right now, but it is not available to checkout?",tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe Creative Cloud unavailable for checkout.
I signed up for a adobe creative cloud account but when I log it it is not giving me access to the apps.,tran_raw_2024,adobe_access,accepted,high,FALSE,Adobe account not granting app access.
"I keep checking out adobe creative cloud, but it keeps saying ""Your Photoshop license has expired"" how do I get access.",tran_raw_2024,adobe_access,accepted,high,FALSE,Photoshop license expired despite Adobe checkout.
"I need to renew my adobe creative cloud license to finish my homework, but none are available. Is there anything you can do?",tran_raw_2025,adobe_access,accepted,high,FALSE,Needs Adobe Creative Cloud license renewal.
My photoshop is saying that my license is expired. I could've sworn I renewed it until Nov. 7th but I guess something didn't work. Is there any way I'd be able to fix this? I need access to Photoshop for my internship by tomorrow.,tran_raw_2025,adobe_access,accepted,high,FALSE,Photoshop license access problem.
"If i were to ""check out"" Adobe Creative Cloud do I only have access to it for 14 days? And if so is there a limit as to how often you can ""check out"" software?",tran_raw_2025,adobe_access,accepted,high,FALSE,Asks Adobe checkout period and limits.
I heard that I could check out Adobe Professional software from the library. Is that true?,tran_raw_2025,adobe_access,accepted,high,FALSE,Asks whether Adobe software can be checked out.
"after I download a file such as Photoshop with the rented adobe license, will I have permanent access or will it only be available for two weeks at a time? also, is there a limit to how many times I can borrow a license?",tran_raw_2025,adobe_access,accepted,high,FALSE,Asks about Adobe license duration and borrowing limits.
How do I get access to use adobe software with a courtesy account?,tran_raw_2025,adobe_access,accepted,high,FALSE,Requests Adobe software access with courtesy account.
"I am trying to checkout Adobe Acrobat Pro, but I get an error message says ""Sorry! Your account does not have permission to book this item.""",tran_raw_2025,adobe_access,accepted,high,FALSE,Adobe Acrobat Pro checkout permission error.
"If I want to use adobe, can I apply for it again after 14 days of application?",tran_raw_2025,adobe_access,accepted,high,FALSE,Asks about reapplying for Adobe after license period.
